0|M|ground|0800|0830
1|M|ground|1100|1130
2|M|ground|1300|1330
3|M|ground|1700|1730
4|M|ground|1900|1930
5|M|1st|0945|1015
6|M|1st|1410|1440
7|M|1st|1600|1630
8|F|ground|1100|1115
9|F|ground|1330|1315
10|F|ground|1630|1645
11|F|ground|1915|1930
12|F|1st|1000|1015
13|F|1st|1410|1415
14|F|1st|1615|1630
